Klasa,Wavelength_um,A_Mean,A_Sigma,A_Mean_minus_sigma,A_Mean_plus_sigma,B_Mean,B_Sigma,B_Mean_minus_sigma,B_Mean_plus_sigma,C_Mean,C_Sigma,C_Mean_minus_sigma,C_Mean_plus_sigma,D_Mean,D_Sigma,D_Mean_minus_sigma,D_Mean_plus_sigma,K_Mean,K_Sigma,K_Mean_minus_sigma,K_Mean_plus_sigma,L_Mean,L_Sigma,L_Mean_minus_sigma,L_Mean_plus_sigma,O_Mean,O_Sigma,O_Mean_minus_sigma,O_Mean_plus_sigma,S_Mean,S_Sigma,S_Mean_minus_sigma,S_Mean_plus_sigma,V_Mean,V_Sigma,V_Mean_minus_sigma,V_Mean_plus_sigma,X_Mean,X_Sigma,X_Mean_minus_sigma,X_Mean_plus_sigma
D,0.85,,,,,,,,,,,,,1.16319948,0.08160495999999999,1.0815945200000001,1.24480444,,,,,,,,,,,,,,,,,,,,,,,,
D,0.9,,,,,,,,,,,,,1.1961514800000002,0.09502562666666667,1.1011258533333335,1.2911771066666669,,,,,,,,,,,,,,,,,,,,,,,,
D,0.95,,,,,,,,,,,,,1.22910348,0.10844629333333332,1.1206571866666668,1.3375497733333332,,,,,,,,,,,,,,,,,,,,,,,,
D,1.0,,,,,,,,,,,,,1.2620554800000001,0.12186696,1.1401885200000001,1.38392244,,,,,,,,,,,,,,,,,,,,,,,,
D,1.05,,,,,,,,,,,,,1.2950074800000002,0.13528762666666666,1.1597198533333335,1.430295106666667,,,,,,,,,,,,,,,,,,,,,,,,
D,1.1,,,,,,,,,,,,,1.32795948,0.14870829333333335,1.1792511866666668,1.4766677733333333,,,,,,,,,,,,,,,,,,,,,,,,
D,1.15,,,,,,,,,,,,,1.3609114800000002,0.16212896,1.1987825200000002,1.5230404400000002,,,,,,,,,,,,,,,,,,,,,,,,
D,1.2,,,,,,,,,,,,,1.39386348,0.17554962666666665,1.2183138533333333,1.5694131066666668,,,,,,,,,,,,,,,,,,,,,,,,
K,0.45,,,,,,,,,,,,,,,,,0.8294433287671233,0.02243781506849315,0.8070055136986302,0.8518811438356165,,,,,,,,,,,,,,,,,,,,
K,0.5,,,,,,,,,,,,,,,,,0.8787371643835616,0.021738157534246575,0.8569990068493151,0.9004753219178082,,,,,,,,,,,,,,,,,,,,
K,0.55,,,,,,,,,,,,,,,,,0.928031,0.021038499999999998,0.9069925000000001,0.9490695,,,,,,,,,,,,,,,,,,,,
K,0.6,,,,,,,,,,,,,,,,,0.9773248356164383,0.020338842465753425,0.9569859931506849,0.9976636780821918,,,,,,,,,,,,,,,,,,,,
K,0.65,,,,,,,,,,,,,,,,,1.0137921785714286,0.023651007142857144,0.9901411714285714,1.0374431857142856,,,,,,,,,,,,,,,,,,,,
K,0.7,,,,,,,,,,,,,,,,,1.0393332499999999,0.030380649999999995,1.0089526,1.0697138999999998,,,,,,,,,,,,,,,,,,,,
K,0.75,,,,,,,,,,,,,,,,,1.0648743214285714,0.03711029285714286,1.0277640285714285,1.1019846142857144,,,,,,,,,,,,,,,,,,,,
K,0.8,,,,,,,,,,,,,,,,,1.0588074733333332,0.03944336666666667,1.0193641066666665,1.09825084,,,,,,,,,,,,,,,,,,,,
K,0.85,,,,,,,,,,,,,,,,,1.04163514,0.040231699999999995,1.0014034399999998,1.08186684,,,,,,,,,,,,,,,,,,,,
K,0.9,,,,,,,,,,,,,,,,,1.0244628066666666,0.04102003333333333,0.9834427733333332,1.0654828399999998,,,,,,,,,,,,,,,,,,,,
K,0.95,,,,,,,,,,,,,,,,,1.0072904733333332,0.041808366666666666,0.9654821066666666,1.0490988399999999,,,,,,,,,,,,,,,,,,,,
K,1.0,,,,,,,,,,,,,,,,,0.99011814,0.042596699999999994,0.9475214399999999,1.03271484,,,,,,,,,,,,,,,,,,,,
K,1.05,,,,,,,,,,,,,,,,,0.9729458066666666,0.04338503333333333,0.9295607733333333,1.01633084,,,,,,,,,,,,,,,,,,,,
K,1.1,,,,,,,,,,,,,,,,,0.9557734733333333,0.044173366666666665,0.9116001066666666,0.99994684,,,,,,,,,,,,,,,,,,,,
K,1.15,,,,,,,,,,,,,,,,,0.93860114,0.04496169999999999,0.89363944,0.9835628399999999,,,,,,,,,,,,,,,,,,,,
K,1.2,,,,,,,,,,,,,,,,,0.9214288066666666,0.04575003333333333,0.8756787733333333,0.9671788399999999,,,,,,,,,,,,,,,,,,,,
L,0.45,,,,,,,,,,,,,,,,,,,,,0.7678446643835617,0.038905842465753425,0.7289388219178082,0.8067505068493152,,,,,,,,,,,,,,,,
L,0.5,,,,,,,,,,,,,,,,,,,,,0.8349415821917808,0.035743171232876715,0.7991984109589041,0.8706847534246576,,,,,,,,,,,,,,,,
L,0.55,,,,,,,,,,,,,,,,,,,,,0.9020385000000001,0.0325805,0.8694580000000001,0.9346190000000001,,,,,,,,,,,,,,,,
L,0.6,,,,,,,,,,,,,,,,,,,,,0.9691354178082192,0.02941782876712329,0.9397175890410959,0.9985532465753425,,,,,,,,,,,,,,,,
L,0.65,,,,,,,,,,,,,,,,,,,,,1.0207624214285713,0.033086057142857145,0.9876763642857141,1.0538484785714284,,,,,,,,,,,,,,,,
L,0.7,,,,,,,,,,,,,,,,,,,,,1.05921135,0.04257319999999999,1.01663815,1.10178455,,,,,,,,,,,,,,,,
L,0.75,,,,,,,,,,,,,,,,,,,,,1.0976602785714284,0.05206034285714285,1.0455999357142856,1.1497206214285713,,,,,,,,,,,,,,,,
L,0.8,,,,,,,,,,,,,,,,,,,,,1.1072939066666665,0.05125521333333333,1.0560386933333332,1.1585491199999998,,,,,,,,,,,,,,,,
L,0.85,,,,,,,,,,,,,,,,,,,,,1.1068032399999999,0.04683388000000001,1.0599693599999997,1.15363712,,,,,,,,,,,,,,,,
L,0.9,,,,,,,,,,,,,,,,,,,,,1.1063125733333332,0.04241254666666667,1.0639000266666665,1.14872512,,,,,,,,,,,,,,,,
L,0.95,,,,,,,,,,,,,,,,,,,,,1.1058219066666666,0.03799121333333334,1.0678306933333332,1.14381312,,,,,,,,,,,,,,,,
L,1.0,,,,,,,,,,,,,,,,,,,,,1.10533124,0.03356988000000001,1.07176136,1.1389011199999999,,,,,,,,,,,,,,,,
L,1.05,,,,,,,,,,,,,,,,,,,,,1.1048405733333333,0.02914854666666667,1.0756920266666665,1.13398912,,,,,,,,,,,,,,,,
L,1.1,,,,,,,,,,,,,,,,,,,,,1.1043499066666667,0.024727213333333335,1.0796226933333333,1.12907712,,,,,,,,,,,,,,,,
L,1.15,,,,,,,,,,,,,,,,,,,,,1.10385924,0.02030588000000002,1.08355336,1.12416512,,,,,,,,,,,,,,,,
L,1.2,,,,,,,,,,,,,,,,,,,,,1.1033685733333334,0.015884546666666683,1.0874840266666668,1.11925312,,,,,,,,,,,,,,,,
O,0.45,,,,,,,,,,,,,,,,,,,,,,,,,0.8910206643835616,0.0,0.8910206643835616,0.8910206643835616,,,,,,,,,,,,
O,0.5,,,,,,,,,,,,,,,,,,,,,,,,,0.9225175821917808,0.0,0.9225175821917808,0.9225175821917808,,,,,,,,,,,,
O,0.55,,,,,,,,,,,,,,,,,,,,,,,,,0.9540145,0.0,0.9540145,0.9540145,,,,,,,,,,,,
O,0.6,,,,,,,,,,,,,,,,,,,,,,,,,0.9855114178082192,0.0,0.9855114178082192,0.9855114178082192,,,,,,,,,,,,
